merchant_name,total_tx,flagged_tx,unique_cards,unique_cards_flagged,avg_amount,max_fraud_score,flag_rate
QuickPay Online,45,17,30,14,199.91022222222222,0.5,0.38
Shopify Merchant 2,27,7,17,5,37.18074074074074,0.5,0.26
Shopify Merchant 1,39,6,19,3,29.797179487179484,0.5,0.15
AliExpress,40,6,24,5,62.6985,0.5,0.15
Apple Store,4,4,3,3,1420.4325,0.5,1.0
Apple Gift Card,4,4,4,4,1077.7649999999999,0.45,1.0
Gift Card Mall,3,3,2,2,1349.9399999999998,0.5,1.0
Newegg,3,3,2,2,656.4933333333333,0.5,1.0
Cineplex,26,2,17,2,68.81576923076923,0.35,0.08
Loblaws,26,2,19,2,59.33653846153846,0.35,0.08
RBC ATM,28,1,18,1,80.0,0.35,0.04
Schwartz's,25,1,16,1,64.642,0.35,0.04
BMO ATM,24,1,17,1,70.0,0.4,0.04
Amazon.ca,30,1,19,1,56.209666666666664,0.4,0.03
Best Buy,1,1,1,1,696.48,0.45,1.0
Cafe Olimpico,30,1,18,1,43.974333333333334,0.35,0.03
Air Canada,1,0,1,0,614.82,0.25,0.0
Bell Canada,19,0,13,0,59.21263157894737,0.15,0.0
Amazon.com,38,0,24,0,32.46526315789474,0.15,0.0
Etsy,32,0,21,0,29.6215625,0.15,0.0
Esso,16,0,10,0,59.521875,0.15,0.0
Desjardins ATM,27,0,20,0,78.51851851851852,0.15,0.0
Disney+,33,0,20,0,14.83848484848485,0.15,0.0
Chevron,26,0,18,0,41.067692307692305,0.15,0.0
Chipotle,20,0,17,0,44.7185,0.15,0.0
Metro,29,0,18,0,43.26896551724138,0.15,0.0
McDonald's,34,0,21,0,39.22176470588235,0.15,0.0
La Banquise,30,0,19,0,43.61566666666667,0.25,0.0
Joe Beef,30,0,24,0,39.993,0.15,0.0
Hydro-Quebec,20,0,13,0,43.1605,0.15,0.0
IGA,26,0,17,0,37.69730769230769,0.15,0.0
Provigo,23,0,17,0,40.82304347826087,0.15,0.0
Petro-Canada,15,0,14,0,63.152,0.25,0.0
Shell,31,0,21,0,34.91516129032258,0.15,0.0
Netflix,27,0,18,0,15.323333333333334,0.15,0.0
Spotify,20,0,17,0,13.99,0.15,0.0
Starbucks,29,0,19,0,29.459655172413793,0.15,0.0
Tim Hortons,32,0,21,0,55.3334375,0.15,0.0
Videotron,27,0,18,0,42.96814814814815,0.15,0.0
Whole Foods,31,0,19,0,34.14774193548387,0.15,0.0
eBay,29,0,20,0,37.32241379310344,0.15,0.0
