transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address,device_ip_null_expected,hour_of_day,is_odd_hours,amount_vs_card_median,tx_count_last_30min,is_new_device_for_card,merchant_card_burst_24h,is_cross_border,fraud_score,is_flagged,review_status,flag_reasons
tx_000784,2026-04-25 00:27:09+00:00,card_042,18.38,Amazon.ca,online_retail,online,us,ca,dev_33892b01,172.58.159.61,False,0,False,1.06,0,True,0,True,0.0,False,clear,
tx_000081,2026-04-25 00:32:37+00:00,card_004,160.55,Schwartz's,restaurant,in_person,ca,ca,,,True,0,False,6.82,0,False,0,False,0.0,False,clear,
tx_000389,2026-04-25 01:39:26+00:00,card_020,57.12,Chipotle,restaurant,in_person,us,us,,,True,1,False,1.7,0,False,0,False,0.0,False,clear,
tx_000779,2026-04-25 02:38:38+00:00,card_041,15.86,Videotron,utilities,online,ca,ca,dev_614ef198,142.112.31.70,False,2,True,0.62,0,True,0,False,0.05,False,clear,
tx_000256,2026-04-25 04:26:31+00:00,card_013,52.73,Shopify Merchant 2,online_retail,online,ca,ca,dev_e5c2222f,24.114.1.85,False,4,True,1.09,0,True,0,False,0.05,False,clear,
tx_000041,2026-04-25 05:09:52+00:00,card_002,57.27,McDonald's,restaurant,in_person,ca,ca,,,True,5,True,2.86,0,False,0,False,0.05,False,clear,
tx_000649,2026-04-25 06:16:56+00:00,card_035,15.99,Disney+,subscription,online,ca,us,dev_37f4b88c,24.114.240.71,False,6,False,0.76,0,True,0,True,0.0,False,clear,
tx_000063,2026-04-25 06:51:00+00:00,card_003,48.14,Provigo,grocery,in_person,ca,ca,,,True,6,False,1.11,0,False,0,False,0.0,False,clear,
tx_000544,2026-04-25 08:19:31+00:00,card_029,9.06,Hydro-Quebec,utilities,online,ca,ca,dev_72eedf3c,24.114.198.77,False,8,False,0.27,0,True,0,False,0.0,False,clear,
tx_000551,2026-04-25 08:25:39+00:00,card_029,58.77,Tim Hortons,restaurant,in_person,ca,ca,,,True,8,False,1.75,1,False,0,False,0.0,False,clear,
tx_000782,2026-04-25 09:03:20+00:00,card_042,9.66,Chipotle,restaurant,in_person,us,us,,,True,9,False,0.56,0,False,1,False,0.0,False,clear,
tx_000206,2026-04-25 09:09:03+00:00,card_011,4.85,Chipotle,restaurant,in_person,ca,ca,,,True,9,False,0.47,0,False,2,False,0.0,False,clear,
tx_000521,2026-04-25 09:18:09+00:00,card_028,51.13,eBay,online_retail,online,ca,us,dev_bea30580,99.225.214.42,False,9,False,0.88,0,True,0,True,0.0,False,clear,
tx_000690,2026-04-25 11:27:41+00:00,card_037,41.39,IGA,grocery,in_person,ca,ca,,,True,11,False,0.79,0,False,0,False,0.0,False,clear,
tx_000853,2026-04-25 11:57:46+00:00,card_045,42.68,eBay,online_retail,online,fr,us,dev_ba413b67,82.66.10.13,False,11,False,1.41,0,True,1,True,0.0,False,clear,
tx_000396,2026-04-25 12:33:42+00:00,card_021,94.87,Tim Hortons,restaurant,in_person,ca,ca,,,True,12,False,1.91,0,False,1,False,0.0,False,clear,
tx_000442,2026-04-25 12:43:20+00:00,card_023,28.79,Whole Foods,grocery,in_person,ca,ca,,,True,12,False,2.55,0,False,0,False,0.0,False,clear,
tx_000897,2026-04-25 13:55:46+00:00,card_048,9.57,McDonald's,restaurant,in_person,ca,ca,,,True,13,False,0.35,0,False,1,False,0.0,False,clear,
tx_000018,2026-04-25 14:13:47+00:00,card_000,51.5,Hydro-Quebec,utilities,online,ca,ca,dev_bc0178b6,99.225.129.227,False,14,False,1.4,0,True,1,False,0.0,False,clear,
tx_000394,2026-04-25 15:06:17+00:00,card_021,19.32,Etsy,online_retail,online,ca,us,dev_f61b4d97,24.114.210.28,False,15,False,0.39,0,True,0,True,0.0,False,clear,
tx_000027,2026-04-25 15:51:42+00:00,card_001,69.73,Etsy,online_retail,online,ca,us,dev_8080a2c9,24.114.208.216,False,15,False,1.26,0,True,1,True,0.0,False,clear,
tx_000702,2026-04-25 17:37:25+00:00,card_037,16.88,Tim Hortons,restaurant,in_person,ca,ca,,,True,17,False,0.32,0,False,2,False,0.0,False,clear,
tx_000873,2026-04-25 17:43:45+00:00,card_047,37.03,Hydro-Quebec,utilities,online,ca,ca,dev_dcad83da,24.114.120.126,False,17,False,1.61,0,True,2,False,0.0,False,clear,
tx_000608,2026-04-25 18:35:18+00:00,card_033,92.02,Provigo,grocery,in_person,gb,gb,,,True,18,False,1.47,0,False,1,False,0.0,False,clear,
tx_000226,2026-04-25 19:32:23+00:00,card_012,27.35,Whole Foods,grocery,in_person,ca,ca,,,True,19,False,1.39,0,False,1,False,0.0,False,clear,
tx_000391,2026-04-25 19:35:05+00:00,card_021,135.46,Loblaws,grocery,in_person,ca,ca,,,True,19,False,2.73,0,False,0,False,0.0,False,clear,
tx_000914,2026-04-25 19:49:18+00:00,card_049,41.79,Amazon.ca,online_retail,online,ca,ca,dev_2d66c302,142.112.109.212,False,19,False,2.61,0,True,1,False,0.0,False,clear,
tx_000735,2026-04-25 20:15:06+00:00,card_039,8.6,Joe Beef,restaurant,in_person,gb,gb,,,True,20,False,0.47,0,False,0,False,0.0,False,clear,
tx_000604,2026-04-25 20:44:00+00:00,card_032,28.46,Joe Beef,restaurant,in_person,ca,ca,,,True,20,False,0.49,0,False,1,False,0.0,False,clear,
tx_000456,2026-04-25 20:54:26+00:00,card_024,54.46,IGA,grocery,in_person,ca,ca,,,True,20,False,1.36,0,False,1,False,0.0,False,clear,
tx_000783,2026-04-26 00:12:55+00:00,card_042,29.24,Starbucks,restaurant,in_person,us,us,,,True,0,False,1.69,0,False,0,False,0.0,False,clear,
tx_000533,2026-04-26 01:13:16+00:00,card_028,102.56,IGA,grocery,in_person,ca,ca,,,True,1,False,1.77,0,False,2,False,0.0,False,clear,
tx_000250,2026-04-26 01:27:49+00:00,card_013,18.19,Hydro-Quebec,utilities,online,ca,ca,dev_e5c2222f,142.112.127.88,False,1,False,0.37,0,False,3,False,0.0,False,clear,
